                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3281,                 1.1858,                0.98543,                0.59126,                0.59173,                0.60357,                0.42967,                 1.1475,                0.66894,                 0.8868,              0.0033252,              0.0033252,              0.0033252
                      2,                 1.2763,                0.76337,                0.95548,                0.72339,                0.63957,                0.67037,                0.45393,                 1.2662,                0.75457,                0.92577,              0.0065926,              0.0065926,              0.0065926
                      3,                 1.3346,                0.82287,                0.97668,                0.45292,                 0.4902,                0.44918,                0.31731,                 1.3203,                0.98641,                0.95036,               0.009794,               0.009794,               0.009794
                      4,                 1.3476,                0.83685,                 0.9872,                0.66191,                0.58816,                0.61515,                0.41725,                 1.2503,                0.75007,                0.93819,               0.009703,               0.009703,               0.009703
                      5,                 1.2936,                0.77309,                0.97274,                0.72051,                0.61526,                0.66331,                0.45972,                 1.1966,                0.67188,                0.92191,               0.009604,               0.009604,               0.009604
                      6,                 1.2509,                0.71595,                0.95863,                0.64013,                0.63283,                0.64478,                0.44184,                 1.1873,                0.65834,                0.92107,               0.009505,               0.009505,               0.009505
                      7,                 1.2282,                0.69086,                0.95315,                0.66888,                0.63998,                0.64392,                0.42981,                 1.1876,                0.62985,                0.92171,               0.009406,               0.009406,               0.009406
                      8,                 1.2095,                0.66616,                0.94793,                0.71664,                0.68107,                0.71307,                0.50259,                 1.1646,                0.60381,                0.90948,               0.009307,               0.009307,               0.009307
                      9,                 1.1909,                0.64802,                0.94024,                0.78113,                0.65472,                0.71973,                0.49817,                 1.2073,                0.61451,                0.91793,               0.009208,               0.009208,               0.009208
                     10,                  1.174,                0.62982,                0.93478,                0.79911,                0.69622,                0.73698,                0.52688,                 1.1331,                0.57524,                0.90907,               0.009109,               0.009109,               0.009109
                     11,                 1.1643,                0.61824,                0.93158,                0.74679,                0.67044,                0.69717,                0.50506,                 1.1497,                0.61354,                0.91351,                0.00901,                0.00901,                0.00901
                     12,                 1.1539,                0.60714,                0.93066,                0.75284,                0.67185,                0.69726,                0.50159,                 1.1728,                0.57631,                0.91439,               0.008911,               0.008911,               0.008911
                     13,                 1.1449,                0.59477,                0.92699,                0.71272,                0.68908,                0.72476,                0.49756,                 1.1601,                0.55349,                0.91637,               0.008812,               0.008812,               0.008812
